"","V1","Abstract","Unnamed..0","Authors","Quantitative.Data","Theoretical.Model","Empirical.Model","COMMENT..we.also.need.a.column.indicating.if.degrowth.is.used.as.ex.ante.strategy..as.result..low.negative.growth.as.in.Japan..or.otherwise.confusingly.","Volume","Issue"
"179","181","From a social perspective, the literature predominantly explains degrowth as a transition of values from market mediated ones towards increased conviviality and less consumption. This exploratory research is based on a case study in the small town of BesalÃº in Spain which is located between Barcelona and the coastal area of Costa Brava. The town has experienced an increase in visitors and more recently in apartment rentals. The study area was thus adequate to explore the emergence of degrowth values and the role they play in residentsâ understanding of their exchanges with tourists. The methodology is based on a literature review which identifies values associated with degrowth, followed by an analysis of the study area and a series of in-depth interviews with residents using a phenomenological approach. The results show that degrowth values such as conviviality are at play in areas such as providing tourists with a bathroom, while other areas such as environmental preservation are less significant. ",181,"Muler GonzÃ¡lez V., GalÃ­ Espelt N.",0,0,0,"""""""""In-depth interviews with residents using a phenomenological approach""""""""?","19","6"
"202","204","Degrowth scholarship argues for multi-scalar transformations beyond the growth-oriented economic paradigm to achieve long-term socio-ecological sustainability. While the literature on degrowth has grown substantially, little has been said about how these transformations are understood in practice. By drawing upon practice theory and using performative methods, this paper explores the ways in which degrowth scholars and practitioners experience and understand degrowth. It provides a preliminary account of living degrowth by portraying a diverse range of interrelated practices grouped in five spheres: (1) rethinking society, (2) acting political, (3) creating alternatives, (4) fostering connections, and (5) unveiling the self. Drawing upon the spheres of practices, we conceptualize living degrowth as an endeavour that aims to transform current problems into imagined futures in multiple realms. The practices of living degrowth are concerned with theoretical, political, material, economical, social and personal dimensions of world and life. This points to the importance for sustainability science to investigate and foster transformations in all domains and at all levels, reaching from the outer to the inner and vice versa. ",204,"Brossmann J., Islar M.",0,0,0,"Data is audio-, video- and photo-equipment and participantsâ notes from reflection/brainstorming rounds! One ridiculous photo in the paper","15","3"
"215","217","Degrowth advocates radical reduction in society's matter-energy throughput. Organisations have received little attention in this discourse. In the context of sustainability much emphasis has been put on the concept of eco-efficiency, disregarding the rebound effect. In contrast, eco-sufficiency emphasises producing and consuming enough. This article operationalises eco-sufficiency as an indicator for degrowth and focuses on how eco-sufficiency orientations manifest in a commons-based peer production organisation. The studied case of WindEmpowerment shows only marginal manifestations of eco-sufficiency in its orientation. Commons-based peer organisations must actively aim to reduce matter-energy throughput by adopting an eco-sufficiency orientation to fit degrowth. ",217,"Robra B., Heikkurinen P., Nesterova I.",0,0,0,"case study with interviews, but poorly documented","2",""
"223","226","The aim of the present study is to explore the role of tourism stakeholders in the sustainable degrowth of tourism, within the context of overtourism and destination governance. Data was gathered from document analysis and in-depth, face-to-face interviews with key tourism stakeholders in Istanbul, the most popular tourist destination in Turkey. A qualitative case study approach was adopted and content analysis was utilized as a data treatment technique. The results indicate that demarketing and applying âlocalhoodâ tourism activities are key drivers behind degrowth. Findings have also confirmed that degrowth is one solution in response to the concept of overtourism. ",226,"Ãakar K., Uzut Ä°.",0,0,0,"case study on Istanbul with review and interviews","37","8-Sep"
"272","275","Inspired by the thesis that an alliance between degrowth and environmental justice (EJ) movements is essential (Akbulut et al., this issue), this paper presents the findings of empirical research concerning the pitfalls and possibilities of such an alliance as understood by prominent Croatian EJ movement leaders. We outline the context of the Croatian EJ movement through two specifics â the country's semiperipheral position in the global world-system and the ecological distribution conflicts (EDCs) characteristic of the post-socialist societal metabolism in Europe. The research explores the theory-practice nexus, materialist vs. post-materialist value base, and the potential of âa politico-metabolic reconfigurationâ (ibid.) for the proposed alliance. Our findings indicate a hitherto limited, but positive potential for degrowth to provide a theoretical framework for the semiperipheral EJ movement. Both the EJ movement and degrowth demonstrably share a materialist motivation, but not for reasons of âunder-developmentâ of semiperipheral societies. Our analysis concludes that semiperipheral EJ activists are open to a politico-metabolic reconfiguration proposal, though they are presently not aware that a viable reconfiguration strategy is proffered by the degrowth research community. On the European semiperiphery, an alliance between theory and movement would benefit from a clearer explication of such a strategy.",275,"Domazet M., AnÄiÄ B.",0,0,0,"interviews, feels like no data","157",""
"324","328","During the last decade, degrowth has developed into a central research theme within sustainability science. A significant proportion of previous works on degrowth has focused on macro-level units of analysis, such as global or national economies. Less is known about local interpretations of degrowth. This study explored interpretations of growth and degrowth in a local setting and attempts to integrate degrowth ideas into local policy. The work was carried out as a qualitative single-case study of the small town of AlingsÃ¥s, Sweden. The results revealed two different, yet interrelated, local growth discourses in AlingsÃ¥s: one relating to population growth and one relating to economic growth. Individuals participating in the degrowth discourse tend to have a sustainability-related profession and/or background in civil society. Arenas for local degrowth discussions are few and temporary and, despite some signs of influence, degrowth-related ideas have not had any significant overall impact on local policy and planning. In practice, degrowth-interested individuals tend to adjust their arguments to the mainstream sustainability discourse and turn to arenas beyond the formal municipal organization when discussing transformative ideas about development, progress, and quality of life. Based on these findings, the conditions for a further integration of degrowth into local policy and planning are discussed. Suggested themes for further research are institutional change and the role of local politicians. ",328,"Buhr K., Isaksson K., Hagbert P.",0,0,0,"qualitative single-case study of the small town of AlingsÃ¥s, Sweden, 10 semi-structured interviews with a total of 11 respondents","10","6"
"351","355","Innovative forms of organising are a crucial pillar of post-growth transitions. Situated within a growth-based institutional context, actually existing forms of postgrowth organising are ambiguous. Divisions across legal structure, market participation and sectoral focus do not suffice to single out post-growth organisations. Instead, this paper develops a more fluid notion which is based on the """"""""thick description"""""""" of organisations. Conceptually, the paper borrows from diverse economies and practice theory literatures, allied in their appreciation of performativity. The latter in particular illustrates transition's irreducibility to structural or individual agency and lends itself to a notion of post-growth politics: the practice of changing the rules of practice to support parallel and mutually enforcing processes of cultural and institutional change within the diverse meanings of post-growth. Studies of diverse economies remind us that market practices are only the tip of the (economic) iceberg. In conjunction with qualitative empirical data from a study of alternative economies in Stuttgart, Germany, a framework is developed to structure organisations' diverse forms of relatedness to larger contexts. Identifying, besides economies, also communality, narratives, experience, governance and ecology as central patterns in the relatedness of practices (logics), this paper proposes a structured notion of diversity to discuss the ambiguities, contradictions and compromises of actually existing postgrowth organisations. ",355,"Schmid B.",0,0,0,"no acess to full text ABSTRACT SAYS """"""""In conjunction with qualitative empirical data from a study of alternative economies in Stuttgart""""""""","29","3"
"356","360","At present, little is known about the corporate characteristics that support a socioeconomic development towards degrowth. Addressing this research gap, we conducted interviews with companies which have joined the Economy for the Common Good, a social movement which identifies the common good as the purpose of economic activity. Our analysis was guided by Latouche's (2009) eight 'R's which, he claims, should trigger a transformation towards degrowth: re-evaluate, reconceptualize, restructure, redistribute, relocalize, reduce, re-use and recycle. Among the companies we studied, we observed a change in values in line with Latouche's claim. In their management practices, the companies are guided by values such as fairness, cooperation, diversity, independence, democracy, transparency, and ecological sustainability. This is exemplified by democratic ownership and decision-making structures, cooperative trade relations, a preference for local suppliers and the redistribution of surpluses. Furthermore, for these companies, profits are of reduced significance as an indicator of success. Nevertheless, some companies in our sample do still consider further company growth to be necessary. But, as the limitation of the company's size is just one possible way in which a company can contribute to an overall reduction in economic growth, the companies bear due to their compliance with Latouche's strategies the potential to contribute to a societal transition towards degrowth.",360,"Wiefek J., Heinitz K.",0,0,0,"interviews with companies I CLASSIFIED MOST STUDIES WITH INTERVIEWS AS QUALITATIVE AND HENCE ZERO","29","3"
"385","389","A movement is gaining traction in New Zealand around timebanks, networks of support in which members exchange favors such as gardening, lifts to the supermarket, pet care, language lessons, career advice, or smartphone tutorials. An online currency is used to track these exchanges, with one hour of work earning one time credit. While each transaction may seem commonplace, when timebanks flourish they work to reshape motivations and opportunities for engaging in labor, and relocalize networks of solidarity, friendship, and resources. Participants reported examples of developing unexpected friendships and renewed enthusiasm for a larger collective project of building alternatives to the currently dominant growth-addicted economic model. These processes contribute to the establishment of foundational, mostly small-scale networks that are enjoyable to use in the here and now, while also creating the potential for these systems to be scaled up or linked together in response to greater economic, ecological, and social changes. Timebank developers in New Zealand are negotiating several structural challenges in their attempts to bring these networks to fruition. This article shares results of ethnographic research amongst seven North Island timebanks, and offers suggestions for future research in this area. ",389,"McGuirk E.",0,0,0,"ethnographic survey in a way BUT IS THAT QUALITATIVE OR QUANTATIVE?","24","1"
"393","397","Questions concerning the maldistribution of property and productive resources continue to inform debates about how to bring about societies that are livable, equitable, and ecologically sustainable. In the diverse imaginaries of revolutionary, utopian, socialist, and anti-capitalist politics-together with their adversaries-the notions of """"""""collective"""""""" and """"""""private"""""""" property have often been conceived as mutually exclusive and exhaustive alternatives. Drawing from several years of ethnographic research with rural squatters in the cacao lands of Bahia, Brazil, the author brings together alternative ways of conceptualizing property that can help overcome this lingering dichotomy and fruitfully inform new political projects. The article examines local practices of property-making through two cases focused on the private ownership and stewardship of natural springs, and the processes whereby squatters convert forest into agroforest. The analysis highlights the ways in which these """"""""private"""""""" properties are intersected by """"""""public"""""""" interests and """"""""collective"""""""" practices, while considering the different kinds of relations that these intersections afford among people and between humans and the non-human environment. Based on these cases, the author suggests that current conversations about """"""""degrowth"""""""" may benefit by drawing together frameworks from political ecology, economic anthropology, and property jurisprudence. The presentation concludes by highlighting potential synergies between concerns for degrowth and claims for property democratization. ",397,"DeVore J.",0,0,0,"ethnographic survey in a way BUT IS THAT QUALITATIVE OR QUANTATIVE?","24","1"
"420","424","Bhutan is a rare case of a state with a development objective, Gross National Happiness (GNH), that emerged out of a critical perspective on economic growth as measured by Gross Domestic Product (GDP). However, Bhutan is not immune from pressures that have led other states to see economic growth as a core political imperative. It thus represents a valuable case to examine the possibilities and challenges facing an ecological politics of sufficiency that questions the infinite growth of production and consumption. In addition to providing an overview of the GNH development approach, the article examines how ideas of sufficiency have been incorporated into that approach and asks whether pursuit of GNH actually represents a break with logic of a growth-based economic system. Although a sufficiency-based critique of consumerism and endless growth remains present, this âstrong GNHâ formulation increasingly contends with a âweak GNHâ that is more in line with contemporary pressures for growth and greater consumption. ",424,"Hayden A.",0,0,0,"interviews and documents QUANTITATIVE?","24","2"
"481","485","The decommodification of work activity is central for conceiving work from a degrowth perspective. Yet personal dependence on paid work is very high, whereas unpaid work activity, such as providing care, community service and subsistence, continues to be neglected by individuals and society. By using the analytical approach related to recognition as employed by Axel Honneth, I argue on the basis of empirical findings that unpaid work can play a significant role in one's personal well-being at the individual level. With regard to the transition process towards a society of degrowth, however, a key seems to be a change in the normative paradigm concerning work at the individual level.",485,"Nierling L.",0,0,0,"only ten interviews is the empirical basis QUANTITATIVE?","84",""
"538","545","Our research focuses on the cross-pollination of the discourses of innovation and (post)development in the Global South. We suggest that the buzzword innovation is progressively infiltrating the lexicon and situated practices of development. Within this a hegemonic framing of innovation is emerging that leverages the language of inclusion to promote connection to, and participation in, the global free market economy. This, we hypothesise is closing down a broader debate concerning the goals and roles of innovation and technology in the so called developing world. At the same time, our research suggests that this emerging hegemony is contested, presenting as alternative, minority framings with different normative underpinnings for technology and innovation that challenge the pro-growth and market-led dominant paradigm. We present the results of one of these through a qualitative in-depth case study conducted in the Indian state of Kerala. The case provides interesting insights for the degrowth community in two regards. First it shows a concrete example of an alternative framing of technology underpinned by a set of normative principles connected to those of degrowth. Second, the case shows that alternative technological paradigms based on principles aligned with those of degrowth are not only possible, but can and do co-exist with the hegemonic paradigm. ",545,"Pansera M., Owen R.",0,0,0,"qualitative case study  in the Indian state of Kerala with semi structured interviews","197",""
